R,EC
10874270,1.1.1.211
10874276,1.1.1.211
10874292,1.1.1.211
10874264,1.1.1.211
10874240,1.1.1.211
10874262,1.1.1.211
10207536,1.1.1.211
10784836,1.1.1.211
10431351,1.1.1.211
10608558,1.1.1.211
10316210,1.1.1.211
10316225,1.1.1.211
10316187,1.1.1.211
10316162,1.1.1.211
10316185,1.1.1.211
10316202,1.1.1.211
10431336,1.1.1.211
10207496,1.1.1.211
10431328,1.1.1.211
5696822,1.1.1.216
10613257,1.1.1.22
173597,1.1.1.22
10877671,1.1.1.22
10789613,1.1.1.22
10691164,1.1.1.22
10548408,1.1.1.22
10438249,1.1.1.22
10323027,1.1.1.22
10214002,1.1.1.22
10098559,1.1.1.22
9978613,1.1.1.22
2855252,1.1.1.225
193841,1.1.1.225
192160,1.1.1.225
192036,1.1.1.225
193758,1.1.1.225
193800,1.1.1.225
193781,1.1.1.225
10481906,1.1.1.232
10593903,1.1.1.232
10570352,1.1.1.232
10669506,1.1.1.232
10526656,1.1.1.232
10069956,1.1.1.232
10069980,1.1.1.232
2161568,1.1.1.232
10024578,1.1.1.232
2161662,1.1.1.232
2161779,1.1.1.232
10186188,1.1.1.232
10765198,1.1.1.232
9024766,1.1.1.232
10186216,1.1.1.232
10669526,1.1.1.232
10142549,1.1.1.232
10295346,1.1.1.232
10295370,1.1.1.232
10253679,1.1.1.232
10409918,1.1.1.232
10409942,1.1.1.232
10639711,1.1.1.232
10364995,1.1.1.232
10526632,1.1.1.232
10765192,1.1.1.232
9023968,1.1.1.232
10593901,1.1.1.232
10729135,1.1.1.232
8862152,1.1.1.239
10792049,1.1.1.239
70837,1.1.1.239
508369,1.1.1.239
6787594,1.1.1.239
2161549,1.1.1.239
9967590,1.1.1.239
10001224,1.1.1.239
10086814,1.1.1.239
10542438,1.1.1.239
10121376,1.1.1.239
10202993,1.1.1.239
10627063,1.1.1.239
10235332,1.1.1.239
10604940,1.1.1.239
5615668,1.1.1.239
10461094,1.1.1.239
10311584,1.1.1.239
10426721,1.1.1.239
2855252,1.1.1.239
6787591,1.1.1.239
2161614,1.1.1.239
10345323,1.1.1.239
10176563,1.1.1.239
10060021,1.1.1.239
10060034,1.1.1.239
10559903,1.1.1.239
8862137,1.1.1.239
10176576,1.1.1.239
10400114,1.1.1.239
10662858,1.1.1.239
10517213,1.1.1.239
10285932,1.1.1.239
10848606,1.1.1.239
10589274,1.1.1.239
964842,1.1.1.25
10301055,1.1.1.263
10075965,1.1.1.263
9773976,1.1.1.263
10192061,1.1.1.263
10532559,1.1.1.263
10659860,1.1.1.27
10753099,1.1.1.27
10845494,1.1.1.27
11065208,1.1.1.27
10281823,1.1.1.27
10930417,1.1.1.27
10054447,1.1.1.27
6807826,1.1.1.27
10586788,1.1.1.27
10171899,1.1.1.27
10831641,1.1.1.270
194689,1.1.1.270
9945804,1.1.1.270
9945784,1.1.1.270
194632,1.1.1.270
10217679,1.1.1.270
9982709,1.1.1.270
10774526,1.1.1.270
10774530,1.1.1.270
10694724,1.1.1.270
10599797,1.1.1.270
10599801,1.1.1.270
10550515,1.1.1.270
10550483,1.1.1.270
10420183,1.1.1.270
10420187,1.1.1.270
9982677,1.1.1.270
10326726,1.1.1.270
10305353,1.1.1.270
10305357,1.1.1.270
10217711,1.1.1.270
10196576,1.1.1.270
10196580,1.1.1.270
10102741,1.1.1.270
10102708,1.1.1.270
10080331,1.1.1.270
10080335,1.1.1.270
10326694,1.1.1.270
10694756,1.1.1.270
10982396,1.1.1.271
11077709,1.1.1.271
10506854,1.1.1.271
6787623,1.1.1.271
11077698,1.1.1.271
6787642,1.1.1.271
10048652,1.1.1.271
10924854,1.1.1.271
10840001,1.1.1.271
10655492,1.1.1.271
10582521,1.1.1.271
10048642,1.1.1.271
10982385,1.1.1.271
10166208,1.1.1.271
10924865,1.1.1.271
10166198,1.1.1.271
10840012,1.1.1.271
10655502,1.1.1.271
10582524,1.1.1.271
10389321,1.1.1.271
10506864,1.1.1.271
10389331,1.1.1.271
10276510,1.1.1.271
10276520,1.1.1.271
11052250,1.1.1.284
11020473,1.1.1.284
10923064,1.1.1.284
10837949,1.1.1.284
10653493,1.1.1.284
10580919,1.1.1.284
10503626,1.1.1.284
10386482,1.1.1.284
10273783,1.1.1.284
10163306,1.1.1.284
10045697,1.1.1.284
10981042,1.1.1.284
5692237,1.1.1.284
10823525,1.1.1.284
10909161,1.1.1.284
10970750,1.1.1.284
11046525,1.1.1.284
9969796,1.1.1.30
10164463,1.1.1.30
10274861,1.1.1.30
10387637,1.1.1.30
10504814,1.1.1.30
10581656,1.1.1.30
10606913,1.1.1.30
10606909,1.1.1.30
73920,1.1.1.30
10046896,1.1.1.30
9969807,1.1.1.30
10747183,1.1.1.30
73912,1.1.1.30
5696457,1.1.1.30
10543998,1.1.1.30
10089513,1.1.1.30
10543994,1.1.1.30
10429285,1.1.1.30
10429274,1.1.1.30
10314229,1.1.1.30
10314218,1.1.1.30
10205619,1.1.1.30
10089524,1.1.1.30
10205608,1.1.1.30
10825582,1.1.1.300
2855252,1.1.1.300
10125798,1.1.1.300
10859963,1.1.1.300
10714484,1.1.1.300
10006478,1.1.1.300
10465301,1.1.1.300
10349587,1.1.1.300
10812163,1.1.1.300
10561420,1.1.1.300
9931940,1.1.1.300
2465940,1.1.1.300
2464776,1.1.1.300
2464803,1.1.1.300
10494539,1.1.1.300
10576834,1.1.1.300
10648140,1.1.1.300
10824405,1.1.1.300
10731160,1.1.1.300
10571828,1.1.1.300
10484635,1.1.1.300
10367670,1.1.1.300
10256257,1.1.1.300
10145216,1.1.1.300
10027374,1.1.1.300
2464822,1.1.1.300
10859074,1.1.1.300
74872,1.1.1.300
9970497,1.1.1.300
10090219,1.1.1.300
10206300,1.1.1.300
10027426,1.1.1.300
10256309,1.1.1.300
10367722,1.1.1.300
10484687,1.1.1.300
10571872,1.1.1.300
10641523,1.1.1.300
2466861,1.1.1.300
10154639,1.1.1.300
10834875,1.1.1.300
10265246,1.1.1.300
10684574,1.1.1.300
10607483,1.1.1.300
10544338,1.1.1.300
10377752,1.1.1.300
10429976,1.1.1.300
10314920,1.1.1.300
10834015,1.1.1.300
10783541,1.1.1.300
10792300,1.1.1.300
10037103,1.1.1.300
10265348,1.1.1.300
10377884,1.1.1.300
10494663,1.1.1.300
10576956,1.1.1.300
10648233,1.1.1.300
10738897,1.1.1.300
10831641,1.1.1.300
10381042,1.1.1.300
10442586,1.1.1.300
10497868,1.1.1.300
10217864,1.1.1.300
10158056,1.1.1.300
10102893,1.1.1.300
10040383,1.1.1.300
